year,hpi real
1986.87499999997,121.918061704836
1986.9583333333,122.706221337631
1987.04166666664,122.638053551975
1987.12499999997,122.963501427178
1987.2083333333,123.056393114645
1987.29166666664,123.360053277842
1987.37499999997,124.009712411558
1987.4583333333,124.837659194374
1987.54166666664,125.57466588132
1987.62499999997,125.819457244819
1987.7083333333,125.819811806248
1987.79166666664,126.00835070163
1987.87499999997,126.253307348599
1987.9583333333,126.720561955696
1988.04166666664,126.833987753554
1988.12499999997,127.120218733927
1988.2083333333,127.324002866239
1988.29166666663,127.521295921898
1988.37499999997,128.216229592943
1988.4583333333,128.867924971763
1988.54166666663,129.44008797889
1988.62499999997,129.795268042387
1988.7083333333,129.623308613577
1988.79166666663,129.633424806932
1988.87499999997,129.956102360942
1988.9583333333,130.120409326496
1989.04166666663,130.074699847653
1989.12499999997,130.157488935656
1989.2083333333,130.187577010345
1989.29166666663,130.135875738082
1989.37499999997,130.141524199872
1989.4583333333,130.514874296837
1989.54166666663,130.795261563884
1989.62499999997,130.980291456325
1989.7083333333,130.81621027183
1989.79166666663,130.305433687626
1989.87499999997,130.051021273136
1989.9583333333,129.805727205367
1990.04166666663,128.529885525482
1990.12499999997,128.027701504155
1990.2083333333,127.6688601397
1990.29166666663,127.884108322802
1990.37499999997,128.014447230083
1990.4583333333,127.667228285525
1990.54166666663,127.267956028832
1990.62499999997,125.974131343664
1990.7083333333,124.526770527908
1990.79166666663,123.274059917877
1990.87499999997,122.148485547497
1990.9583333333,121.494412799183
1991.04166666663,120.074430241558
1991.12499999997,119.44547473795
1991.2083333333,119.089415200788
1991.29166666663,119.196540006803
1991.37499999997,119.561326881145
1991.4583333333,119.97116786426
1991.54166666663,120.209748065459
1991.62499999996,119.978357270377
1991.7083333333,119.425598324766
1991.79166666663,118.806374297189
1991.87499999996,118.059338433767
1991.9583333333,117.683567047245
1992.04166666663,117.286921405675
1992.12499999996,116.795880495149
1992.2083333333,116.45319981751
1992.29166666663,116.694247580226
1992.37499999996,117.014251491371
1992.4583333333,116.909810176022
1992.54166666663,116.824658110549
1992.62499999996,116.524896354415
1992.7083333333,116.037542181568
1992.79166666663,115.583113695083
1992.87499999996,115.391690394676
1992.9583333333,115.301107262379
1993.04166666663,114.631577752162
1993.12499999996,114.129369862531
1993.2083333333,113.815426964772
1993.29166666663,113.910873731788
1993.37499999996,114.301912665196
1993.4583333333,114.863758010136
1993.54166666663,115.410544824545
